path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'external_inventory', 'user_credentials', 'user_history', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_analysis', 'ad', 'customer_support']","['07:11:51.90', '07:11:51.92', '07:11:52.18', '07:11:52.19', '07:11:52.68', '07:11:52.79', '07:11:52.80', '07:11:53.04', '07:11:53.17', '07:11:53.60', '07:11:53.82', '07:11:54.02', '07:11:55.29', '07:11:56.25', '07:11:56.72', '07:11:57.42', '07:11:58.07']",5.76
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_analysis', 'ad', 'customer_support']","['16:08:51.22', '16:08:51.24', '16:08:51.60', '16:08:51.99', '16:08:52.62', '16:08:52.77', '16:08:52.78', '16:08:53.05', '16:08:53.81', '16:08:54.71', '16:08:54.82', '16:08:55.08', '16:08:55.35', '16:08:55.59', '16:08:56.84', '16:08:57.99', '16:08:58.67', '16:08:59.32', '16:08:59.75']",7.61
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'mastercard', 'limit_check_mastercard', 'fraud_check_mastercard', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['18:40:28.98', '18:40:28.99', '18:40:29.26', '18:40:30.04', '18:40:30.06', '18:40:30.18', '18:40:30.64', '18:40:31.89', '18:40:32.00', '18:40:32.26', '18:40:32.39', '18:40:33.66', '18:40:34.46', '18:40:35.21', '18:40:35.71', '18:40:36.43', '18:40:37.17']",7.63
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'automatic_response', 'ad', 'customer_support']","['22:05:39.90', '22:05:39.91', '22:05:40.02', '22:05:40.61', '22:05:40.91', '22:05:40.93', '22:05:41.13', '22:05:41.91', '22:05:43.13', '22:05:43.41', '22:05:43.53', '22:05:44.49', '22:05:45.44', '22:05:46.48', '22:05:46.75', '22:05:47.39', '22:05:48.05']",7.55
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['05:33:01.28', '05:33:01.30', '05:33:01.44', '05:33:01.64', '05:33:01.66', '05:33:02.26', '05:33:02.61', '05:33:02.64', '05:33:03.01', '05:33:03.13', '05:33:03.84', '05:33:04.66', '05:33:04.92', '05:33:05.28', '05:33:05.68', '05:33:06.70', '05:33:07.44', '05:33:08.58', '05:33:09.23', '05:33:09.66', '05:33:10.42', '05:33:10.88']",8.87
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'automatic_response', 'ad', 'customer_support', 'premium_customer_check']","['19:12:21.49', '19:12:21.51', '19:12:21.86', '19:12:22.50', '19:12:22.79', '19:12:22.82', '19:12:23.22', '19:12:23.62', '19:12:24.86', '19:12:25.24', '19:12:25.37', '19:12:26.37', '19:12:27.31', '19:12:28.58', '19:12:29.36', '19:12:29.61', '19:12:30.23', '19:12:30.65', '19:12:31.07']",8.34
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['14:40:49.28', '14:40:49.30', '14:40:49.67', '14:40:50.26', '14:40:50.45', '14:40:50.47', '14:40:50.59', '14:40:50.79', '14:40:51.59', '14:40:52.71', '14:40:52.96', '14:40:53.32', '14:40:53.51', '14:40:54.68', '14:40:55.17', '14:40:56.40', '14:40:57.12', '14:40:57.75', '14:40:58.42', '14:40:59.01']",8.7
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['12:39:58.28', '12:39:58.31', '12:39:58.62', '12:39:58.87', '12:39:59.32', '12:39:59.35', '12:39:59.47', '12:39:59.69', '12:40:00.11', '12:40:01.32', '12:40:01.57', '12:40:01.71', '12:40:01.82', '12:40:02.90', '12:40:03.90', '12:40:04.85', '12:40:05.60', '12:40:06.22', '12:40:06.66']",7.79
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['10:30:01.86', '10:30:01.88', '10:30:02.21', '10:30:02.76', '10:30:02.99', '10:30:03.00', '10:30:03.33', '10:30:03.81', '10:30:04.10', '10:30:04.43', '10:30:04.70', '10:30:05.77', '10:30:06.30', '10:30:07.32', '10:30:08.39', '10:30:08.92', '10:30:09.35', '10:30:09.79']",7.0
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['11:10:56.25', '11:10:56.28', '11:10:56.51', '11:10:57.27', '11:10:57.28', '11:10:57.68', '11:10:58.12', '11:10:59.08', '11:10:59.32', '11:10:59.56', '11:10:59.77', '11:11:00.64', '11:11:01.45', '11:11:01.91', '11:11:02.63', '11:11:03.43']",6.45
