path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'automatic_response', 'ad', 'customer_support']","['06:15:18.80', '06:15:18.82', '06:15:19.19', '06:15:19.95', '06:15:20.14', '06:15:20.16', '06:15:20.37', '06:15:20.66', '06:15:21.21', '06:15:22.35', '06:15:22.62', '06:15:22.88', '06:15:23.01', '06:15:23.20', '06:15:24.45', '06:15:25.61', '06:15:26.28', '06:15:26.43', '06:15:27.03', '06:15:27.48']",7.55
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'automatic_response', 'ad', 'customer_support']","['00:41:22.35', '00:41:22.37', '00:41:22.75', '00:41:23.02', '00:41:23.74', '00:41:23.99', '00:41:24.02', '00:41:24.28', '00:41:24.48', '00:41:25.12', '00:41:26.40', '00:41:26.53', '00:41:26.66', '00:41:26.97', '00:41:27.33', '00:41:28.43', '00:41:29.64', '00:41:30.39', '00:41:31.13', '00:41:31.46', '00:41:31.99', '00:41:32.50']",9.25
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['14:57:26.80', '14:57:26.82', '14:57:27.18', '14:57:27.59', '14:57:27.77', '14:57:27.79', '14:57:27.91', '14:57:28.18', '14:57:28.66', '14:57:28.94', '14:57:29.24', '14:57:29.57', '14:57:30.40', '14:57:30.91', '14:57:31.75', '14:57:32.47', '14:57:33.27', '14:57:33.75', '14:57:34.40']",6.86
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['05:55:51.92', '05:55:51.93', '05:55:52.29', '05:55:52.91', '05:55:53.04', '05:55:53.06', '05:55:53.36', '05:55:53.93', '05:55:54.96', '05:55:55.15', '05:55:55.44', '05:55:55.61', '05:55:55.91', '05:55:56.81', '05:55:57.36', '05:55:58.58', '05:55:59.06', '05:55:59.68', '05:56:00.40']",7.4
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['04:11:55.75', '04:11:55.77', '04:11:56.10', '04:11:56.38', '04:11:56.40', '04:11:56.99', '04:11:57.15', '04:11:57.17', '04:11:57.46', '04:11:57.60', '04:11:58.36', '04:11:58.59', '04:11:58.81', '04:11:59.76', '04:12:00.60', '04:12:01.87', '04:12:02.64', '04:12:03.24', '04:12:03.75']",7.25
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['04:41:23.82', '04:41:23.84', '04:41:24.17', '04:41:24.32', '04:41:24.75', '04:41:25.07', '04:41:25.09', '04:41:25.47', '04:41:25.68', '04:41:26.12', '04:41:26.96', '04:41:27.34', '04:41:27.49', '04:41:28.78', '04:41:29.27', '04:41:30.42', '04:41:30.96', '04:41:31.66', '04:41:32.22', '04:41:32.66']",7.88
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['11:03:30.28', '11:03:30.29', '11:03:30.63', '11:03:30.80', '11:03:30.81', '11:03:31.53', '11:03:31.56', '11:03:31.91', '11:03:32.45', '11:03:33.36', '11:03:33.62', '11:03:33.74', '11:03:34.12', '11:03:35.20', '11:03:36.00', '11:03:37.10', '11:03:37.71', '11:03:38.46', '11:03:39.25', '11:03:40.04']",8.93
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'ad', 'customer_support']","['12:48:38.55', '12:48:38.57', '12:48:38.70', '12:48:39.28', '12:48:39.30', '12:48:39.67', '12:48:40.26', '12:48:41.41', '12:48:41.81', '12:48:42.19', '12:48:43.48', '12:48:44.60', '12:48:45.74', '12:48:46.18', '12:48:46.61', '12:48:47.15']",7.46
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['12:38:59.94', '12:38:59.97', '12:39:00.24', '12:39:01.01', '12:39:01.17', '12:39:02.23', '12:39:02.38', '12:39:02.40', '12:39:02.60', '12:39:03.27', '12:39:04.54', '12:39:04.76', '12:39:04.97', '12:39:05.84', '12:39:07.03', '12:39:07.57', '12:39:08.30', '12:39:08.90', '12:39:09.44']",8.71
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'premium_customer_check']","['14:20:50.58', '14:20:50.61', '14:20:50.73', '14:20:51.45', '14:20:51.74', '14:20:51.77', '14:20:51.88', '14:20:51.98', '14:20:52.61', '14:20:53.42', '14:20:53.59', '14:20:53.70', '14:20:54.05', '14:20:55.11', '14:20:56.16', '14:20:56.67', '14:20:57.41', '14:20:57.95', '14:20:58.69', '14:20:59.29']",8.17
