path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['00:41:17.32', '00:41:17.34', '00:41:17.55', '00:41:17.80', '00:41:18.49', '00:41:18.77', '00:41:18.79', '00:41:19.06', '00:41:19.34', '00:41:20.09', '00:41:21.01', '00:41:21.34', '00:41:21.53', '00:41:22.24', '00:41:23.50', '00:41:24.55', '00:41:25.24', '00:41:26.00', '00:41:26.59', '00:41:27.33']",9.46
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'ad', 'customer_support']","['07:53:16.67', '07:53:16.70', '07:53:16.96', '07:53:17.17', '07:53:17.19', '07:53:17.82', '07:53:17.84', '07:53:18.08', '07:53:18.78', '07:53:19.98', '07:53:20.32', '07:53:20.49', '07:53:21.12', '07:53:22.32', '07:53:23.26', '07:53:24.19', '07:53:24.91', '07:53:25.55', '07:53:26.06']",8.55
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['17:24:50.30', '17:24:50.32', '17:24:50.59', '17:24:51.17', '17:24:51.39', '17:24:51.42', '17:24:51.68', '17:24:52.26', '17:24:52.58', '17:24:52.74', '17:24:52.93', '17:24:54.02', '17:24:54.90', '17:24:55.37', '17:24:55.86', '17:24:56.58', '17:24:57.35']",6.43
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_analysis', 'automatic_response', 'ad', 'customer_support']","['12:32:51.56', '12:32:51.59', '12:32:51.76', '12:32:52.52', '12:32:52.91', '12:32:52.93', '12:32:53.24', '12:32:53.35', '12:32:53.78', '12:32:55.07', '12:32:55.41', '12:32:55.60', '12:32:55.72', '12:32:56.74', '12:32:57.97', '12:32:58.51', '12:32:58.71', '12:32:59.38', '12:32:59.79']",7.22
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'user_credentials', 'card_check', 'visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['20:04:21.66', '20:04:21.69', '20:04:21.91', '20:04:22.61', '20:04:22.99', '20:04:23.01', '20:04:23.17', '20:04:23.72', '20:04:23.88', '20:04:24.14', '20:04:24.34', '20:04:25.53', '20:04:25.99', '20:04:26.83', '20:04:27.60', '20:04:28.07', '20:04:28.52', '20:04:29.25']",7.29
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['16:48:49.94', '16:48:49.96', '16:48:50.34', '16:48:50.75', '16:48:51.06', '16:48:51.08', '16:48:51.41', '16:48:51.87', '16:48:52.25', '16:48:52.39', '16:48:52.52', '16:48:53.71', '16:48:54.58', '16:48:55.74', '16:48:56.54', '16:48:57.09', '16:48:57.78', '16:48:58.19']",7.41
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['20:14:36.57', '20:14:36.58', '20:14:36.75', '20:14:36.78', '20:14:37.53', '20:14:37.74', '20:14:37.77', '20:14:38.14', '20:14:38.46', '20:14:39.01', '20:14:39.91', '20:14:40.28', '20:14:40.62', '20:14:40.72', '20:14:41.60', '20:14:42.75', '20:14:43.87', '20:14:44.60', '20:14:45.03', '20:14:45.74']",8.34
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['20:03:28.39', '20:03:28.40', '20:03:28.67', '20:03:29.07', '20:03:29.24', '20:03:29.25', '20:03:29.41', '20:03:29.52', '20:03:30.23', '20:03:31.19', '20:03:31.49', '20:03:31.86', '20:03:32.05', '20:03:33.24', '20:03:34.29', '20:03:34.99', '20:03:35.51', '20:03:36.05']",6.88
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['00:13:56.33', '00:13:56.35', '00:13:56.51', '00:13:56.83', '00:13:56.84', '00:13:57.46', '00:13:57.58', '00:13:57.61', '00:13:57.90', '00:13:58.03', '00:13:58.56', '00:13:59.75', '00:14:00.06', '00:14:00.45', '00:14:00.62', '00:14:00.90', '00:14:02.16', '00:14:03.06', '00:14:03.92', '00:14:04.71', '00:14:05.37', '00:14:05.94', '00:14:06.74']",9.73
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['04:48:40.23', '04:48:40.25', '04:48:40.48', '04:48:41.19', '04:48:41.45', '04:48:41.47', '04:48:41.68', '04:48:41.93', '04:48:42.55', '04:48:43.36', '04:48:43.58', '04:48:43.91', '04:48:44.19', '04:48:45.44', '04:48:45.85', '04:48:47.06', '04:48:47.74', '04:48:48.49', '04:48:49.24']",8.06
