path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'premium_customer_check']","['09:21:48.48', '09:21:48.50', '09:21:48.78', '09:21:49.36', '09:21:49.55', '09:21:49.57', '09:21:49.83', '09:21:50.35', '09:21:51.57', '09:21:51.77', '09:21:52.16', '09:21:52.51', '09:21:53.76', '09:21:54.27', '09:21:55.13', '09:21:55.54', '09:21:56.17', '09:21:56.66', '09:21:57.25', '09:21:57.93']",8.9
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'premium_customer_check']","['01:59:33.62', '01:59:33.64', '01:59:34.04', '01:59:34.49', '01:59:34.80', '01:59:34.81', '01:59:35.12', '01:59:35.50', '01:59:36.03', '01:59:36.92', '01:59:37.16', '01:59:37.43', '01:59:37.73', '01:59:37.94', '01:59:39.00', '01:59:39.99', '01:59:40.81', '01:59:41.24', '01:59:41.81', '01:59:42.54', '01:59:43.00', '01:59:43.49']",9.13
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['18:54:13.53', '18:54:13.55', '18:54:13.91', '18:54:13.94', '18:54:14.70', '18:54:14.72', '18:54:14.87', '18:54:15.13', '18:54:15.63', '18:54:16.58', '18:54:16.90', '18:54:17.29', '18:54:17.41', '18:54:18.01', '18:54:18.17', '18:54:19.32', '18:54:20.59', '18:54:21.27', '18:54:21.90', '18:54:22.40', '18:54:22.88']",8.3
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['22:08:50.94', '22:08:50.97', '22:08:51.18', '22:08:51.74', '22:08:51.88', '22:08:51.90', '22:08:52.17', '22:08:52.81', '22:08:53.69', '22:08:54.06', '22:08:54.41', '22:08:54.66', '22:08:55.52', '22:08:56.44', '22:08:57.64', '22:08:58.28', '22:08:58.98', '22:08:59.69', '22:09:00.12']",8.15
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['07:22:19.46', '07:22:19.49', '07:22:19.80', '07:22:19.82', '07:22:20.50', '07:22:20.62', '07:22:20.65', '07:22:20.91', '07:22:21.22', '07:22:21.79', '07:22:23.04', '07:22:23.23', '07:22:23.47', '07:22:23.70', '07:22:24.63', '07:22:25.07', '07:22:26.14', '07:22:26.58', '07:22:27.11', '07:22:27.87']",7.49
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'user_credentials', 'card_check', 'mastercard', 'limit_check_mastercard', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'automatic_response', 'ad', 'customer_support', 'premium_customer_check', 'ai_hatbot']","['00:09:11.70', '00:09:11.73', '00:09:11.97', '00:09:11.99', '00:09:12.50', '00:09:12.52', '00:09:12.68', '00:09:13.48', '00:09:14.44', '00:09:14.79', '00:09:15.11', '00:09:16.31', '00:09:17.40', '00:09:18.00', '00:09:18.59', '00:09:18.70', '00:09:19.11', '00:09:19.78', '00:09:20.33', '00:09:20.50']",8.16
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'customer_history_access']","['09:56:48.50', '09:56:48.53', '09:56:48.67', '09:56:49.18', '09:56:49.39', '09:56:49.40', '09:56:49.77', '09:56:50.43', '09:56:51.42', '09:56:51.55', '09:56:51.74', '09:56:52.72', '09:56:53.66', '09:56:54.23', '09:56:54.70', '09:56:55.29', '09:56:55.73', '09:56:56.14']",6.92
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['07:26:34.57', '07:26:34.59', '07:26:34.79', '07:26:35.25', '07:26:35.28', '07:26:35.49', '07:26:35.95', '07:26:37.07', '07:26:37.29', '07:26:37.69', '07:26:37.97', '07:26:38.96', '07:26:40.08', '07:26:41.34', '07:26:41.96', '07:26:42.56', '07:26:43.04']",7.28
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_analysis', 'ad', 'customer_support']","['20:13:15.74', '20:13:15.76', '20:13:15.91', '20:13:16.07', '20:13:16.08', '20:13:16.85', '20:13:16.95', '20:13:16.97', '20:13:17.17', '20:13:17.46', '20:13:18.12', '20:13:19.36', '20:13:19.59', '20:13:19.89', '20:13:20.02', '20:13:20.37', '20:13:21.26', '20:13:21.70', '20:13:22.97', '20:13:23.77', '20:13:24.52', '20:13:24.95']",8.35
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['00:32:53.35', '00:32:53.37', '00:32:53.51', '00:32:53.52', '00:32:54.25', '00:32:54.54', '00:32:54.55', '00:32:54.93', '00:32:55.07', '00:32:55.58', '00:32:55.87', '00:32:56.02', '00:32:56.28', '00:32:57.40', '00:32:58.63', '00:32:59.46', '00:32:59.90', '00:33:00.48', '00:33:00.93', '00:33:01.63']",7.72
