path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['17:13:29.06', '17:13:29.07', '17:13:29.21', '17:13:29.34', '17:13:29.99', '17:13:30.37', '17:13:30.38', '17:13:30.74', '17:13:31.33', '17:13:32.15', '17:13:32.36', '17:13:32.50', '17:13:32.78', '17:13:33.67', '17:13:34.74', '17:13:35.29', '17:13:35.98', '17:13:36.45', '17:13:37.14']",7.12
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'external_inventory', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['03:20:32.79', '03:20:32.82', '03:20:33.22', '03:20:33.58', '03:20:34.36', '03:20:34.70', '03:20:35.04', '03:20:35.06', '03:20:35.40', '03:20:35.74', '03:20:36.33', '03:20:37.44', '03:20:37.70', '03:20:37.93', '03:20:38.20', '03:20:38.59', '03:20:39.52', '03:20:40.65', '03:20:41.41', '03:20:42.15', '03:20:42.64', '03:20:43.34']",9.73
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['10:46:43.87', '10:46:43.90', '10:46:44.23', '10:46:44.64', '10:46:44.98', '10:46:46.00', '10:46:46.21', '10:46:46.23', '10:46:46.59', '10:46:47.19', '10:46:48.25', '10:46:48.58', '10:46:48.83', '10:46:49.05', '10:46:49.28', '10:46:50.56', '10:46:51.84', '10:46:52.32', '10:46:52.81', '10:46:53.58']",8.58
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_analysis', 'ad', 'customer_support', 'customer_history_access']","['05:07:10.56', '05:07:10.58', '05:07:10.78', '05:07:11.21', '05:07:11.24', '05:07:11.46', '05:07:11.65', '05:07:12.11', '05:07:12.35', '05:07:12.74', '05:07:12.93', '05:07:13.09', '05:07:13.90', '05:07:14.77', '05:07:15.52', '05:07:16.12', '05:07:16.58', '05:07:17.09']",5.92
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support', 'customer_history_access']","['23:56:23.45', '23:56:23.47', '23:56:23.68', '23:56:23.69', '23:56:23.93', '23:56:24.71', '23:56:24.87', '23:56:24.90', '23:56:25.19', '23:56:25.33', '23:56:25.79', '23:56:27.03', '23:56:27.36', '23:56:27.69', '23:56:28.04', '23:56:28.98', '23:56:30.21', '23:56:30.83', '23:56:31.39', '23:56:32.14', '23:56:32.56']",8.25
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['08:31:12.08', '08:31:12.10', '08:31:12.30', '08:31:12.53', '08:31:12.54', '08:31:13.14', '08:31:13.52', '08:31:13.54', '08:31:13.80', '08:31:14.42', '08:31:14.59', '08:31:14.92', '08:31:15.22', '08:31:16.48', '08:31:17.08', '08:31:18.16', '08:31:19.09', '08:31:19.80', '08:31:20.57', '08:31:21.29', '08:31:21.78']",9.26
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['02:22:45.33', '02:22:45.35', '02:22:45.73', '02:22:46.30', '02:22:46.69', '02:22:46.71', '02:22:47.09', '02:22:47.40', '02:22:47.98', '02:22:49.03', '02:22:49.19', '02:22:49.50', '02:22:49.66', '02:22:50.22', '02:22:51.13', '02:22:51.86', '02:22:52.66', '02:22:53.08', '02:22:53.78', '02:22:54.24', '02:22:54.70']",8.68
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['22:05:06.90', '22:05:06.92', '22:05:07.06', '22:05:07.73', '22:05:08.11', '22:05:08.13', '22:05:08.49', '22:05:08.68', '22:05:09.41', '22:05:09.65', '22:05:09.80', '22:05:10.28', '22:05:10.41', '22:05:11.61', '22:05:12.86', '22:05:13.31', '22:05:13.87', '22:05:14.49']",6.47
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['16:22:38.64', '16:22:38.66', '16:22:39.00', '16:22:39.69', '16:22:39.91', '16:22:39.93', '16:22:40.05', '16:22:40.53', '16:22:40.86', '16:22:41.24', '16:22:41.58', '16:22:42.69', '16:22:43.35', '16:22:44.40', '16:22:45.19', '16:22:45.94', '16:22:46.72']",7.37
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['16:15:15.00', '16:15:15.02', '16:15:15.23', '16:15:15.71', '16:15:15.86', '16:15:15.89', '16:15:16.14', '16:15:16.52', '16:15:17.24', '16:15:18.10', '16:15:18.34', '16:15:18.62', '16:15:18.77', '16:15:19.84', '16:15:20.44', '16:15:21.43', '16:15:21.90', '16:15:22.49', '16:15:23.24', '16:15:23.67']",7.6
