path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['06:48:07.70', '06:48:07.71', '06:48:08.04', '06:48:08.26', '06:48:08.87', '06:48:09.00', '06:48:09.02', '06:48:09.35', '06:48:10.05', '06:48:11.07', '06:48:11.44', '06:48:11.63', '06:48:11.78', '06:48:12.81', '06:48:13.30', '06:48:14.35', '06:48:14.83', '06:48:15.27', '06:48:15.96', '06:48:16.70']",8.31
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'ad', 'customer_support']","['00:20:25.39', '00:20:25.41', '00:20:25.70', '00:20:26.11', '00:20:26.42', '00:20:26.67', '00:20:26.70', '00:20:26.98', '00:20:27.13', '00:20:27.83', '00:20:28.75', '00:20:29.04', '00:20:29.36', '00:20:29.63', '00:20:29.76', '00:20:30.56', '00:20:31.72', '00:20:32.53', '00:20:33.11', '00:20:33.64']",7.84
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'review', 'ad', 'customer_support']","['23:50:55.36', '23:50:55.38', '23:50:55.50', '23:50:56.02', '23:50:56.41', '23:50:56.43', '23:50:56.60', '23:50:57.25', '23:50:58.06', '23:50:58.18', '23:50:58.36', '23:50:58.54', '23:50:59.11', '23:51:00.08', '23:51:01.00', '23:51:01.76', '23:51:02.20']",6.42
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'ad', 'customer_support']","['11:32:17.33', '11:32:17.35', '11:32:17.52', '11:32:17.54', '11:32:18.11', '11:32:18.25', '11:32:18.27', '11:32:18.62', '11:32:18.80', '11:32:19.55', '11:32:20.78', '11:32:20.90', '11:32:21.16', '11:32:21.27', '11:32:21.75', '11:32:22.74', '11:32:23.93', '11:32:25.00', '11:32:25.45', '11:32:25.86', '11:32:26.57']",8.37
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'ad', 'customer_support']","['09:39:19.14', '09:39:19.16', '09:39:19.46', '09:39:19.66', '09:39:20.06', '09:39:20.21', '09:39:20.23', '09:39:20.59', '09:39:21.23', '09:39:22.31', '09:39:22.45', '09:39:22.69', '09:39:22.82', '09:39:23.18', '09:39:24.13', '09:39:24.92', '09:39:26.16', '09:39:27.23', '09:39:27.78', '09:39:28.18']",8.14
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['03:42:30.82', '03:42:30.85', '03:42:31.23', '03:42:31.53', '03:42:32.23', '03:42:32.50', '03:42:32.52', '03:42:32.78', '03:42:32.91', '03:42:33.49', '03:42:34.31', '03:42:34.43', '03:42:34.73', '03:42:35.11', '03:42:36.27', '03:42:36.87', '03:42:37.87', '03:42:38.91', '03:42:39.63', '03:42:40.23', '03:42:40.74', '03:42:41.33']",9.71
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'external_inventory', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['12:33:10.81', '12:33:10.84', '12:33:11.04', '12:33:11.37', '12:33:12.12', '12:33:12.43', '12:33:12.62', '12:33:12.63', '12:33:12.89', '12:33:13.50', '12:33:14.65', '12:33:14.79', '12:33:14.97', '12:33:15.84', '12:33:16.84', '12:33:17.80', '12:33:18.41', '12:33:19.20', '12:33:19.89', '12:33:20.29']",8.82
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['08:05:52.38', '08:05:52.40', '08:05:52.71', '08:05:53.48', '08:05:53.50', '08:05:53.71', '08:05:53.82', '08:05:54.55', '08:05:55.57', '08:05:55.85', '08:05:56.24', '08:05:56.61', '08:05:57.60', '08:05:58.13', '08:05:59.32', '08:06:00.25', '08:06:01.03', '08:06:01.69', '08:06:02.17', '08:06:02.58']",9.62
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['06:39:48.90', '06:39:48.91', '06:39:49.04', '06:39:49.74', '06:39:50.01', '06:39:50.02', '06:39:50.17', '06:39:50.97', '06:39:52.09', '06:39:52.35', '06:39:52.73', '06:39:53.81', '06:39:54.76', '06:39:55.69', '06:39:56.15', '06:39:56.87', '06:39:57.35', '06:39:57.94']",8.37
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['09:29:02.89', '09:29:02.90', '09:29:03.15', '09:29:03.65', '09:29:03.77', '09:29:04.72', '09:29:04.74', '09:29:05.05', '09:29:05.23', '09:29:05.96', '09:29:06.91', '09:29:07.01', '09:29:07.25', '09:29:07.93', '09:29:09.09', '09:29:09.73', '09:29:10.56', '09:29:10.96', '09:29:11.62', '09:29:12.02', '09:29:12.48']",9.12
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['20:48:10.25', '20:48:10.27', '20:48:10.52', '20:48:11.15', '20:48:11.42', '20:48:11.44', '20:48:11.76', '20:48:11.86', '20:48:12.34', '20:48:13.17', '20:48:13.32', '20:48:13.65', '20:48:13.99', '20:48:14.94', '20:48:16.17', '20:48:16.81', '20:48:17.31', '20:48:17.85', '20:48:18.48']",7.22
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['16:39:05.52', '16:39:05.54', '16:39:05.65', '16:39:05.68', '16:39:06.29', '16:39:06.30', '16:39:06.58', '16:39:07.17', '16:39:08.38', '16:39:08.53', '16:39:08.80', '16:39:09.04', '16:39:10.22', '16:39:10.82', '16:39:12.05', '16:39:12.49', '16:39:12.98', '16:39:13.55', '16:39:14.30']",7.76
