path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'mastercard', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_analysis', 'ad', 'customer_support']","['17:03:17.30', '17:03:17.33', '17:03:17.63', '17:03:18.09', '17:03:18.45', '17:03:18.48', '17:03:18.71', '17:03:19.32', '17:03:19.71', '17:03:19.87', '17:03:20.00', '17:03:21.23', '17:03:22.34', '17:03:23.38', '17:03:23.97', '17:03:24.47', '17:03:24.88']",6.79
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['03:57:55.14', '03:57:55.17', '03:57:55.30', '03:57:55.62', '03:57:56.23', '03:57:56.62', '03:57:56.65', '03:57:56.82', '03:57:57.24', '03:57:58.52', '03:57:58.68', '03:57:58.87', '03:57:59.14', '03:57:59.37', '03:58:00.49', '03:58:01.55', '03:58:02.13', '03:58:02.77', '03:58:03.23']",7.31
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'ad', 'customer_support']","['01:07:53.79', '01:07:53.82', '01:07:53.99', '01:07:54.15', '01:07:54.65', '01:07:54.94', '01:07:54.96', '01:07:55.33', '01:07:55.56', '01:07:56.09', '01:07:57.19', '01:07:57.47', '01:07:57.81', '01:07:58.14', '01:07:58.95', '01:07:59.92', '01:08:00.56', '01:08:01.33']",6.98
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'ad', 'customer_support', 'premium_customer_check', 'ai_hatbot']","['06:12:02.90', '06:12:02.92', '06:12:03.32', '06:12:03.33', '06:12:03.79', '06:12:03.91', '06:12:03.93', '06:12:04.05', '06:12:04.56', '06:12:05.43', '06:12:05.68', '06:12:05.92', '06:12:06.25', '06:12:06.39', '06:12:07.31', '06:12:08.55', '06:12:09.13', '06:12:09.80', '06:12:10.45', '06:12:10.85']",7.04
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'premium_customer_check']","['22:48:41.94', '22:48:41.95', '22:48:42.32', '22:48:42.34', '22:48:42.82', '22:48:42.98', '22:48:43.98', '22:48:44.20', '22:48:44.22', '22:48:44.41', '22:48:44.59', '22:48:45.23', '22:48:46.21', '22:48:46.46', '22:48:46.85', '22:48:47.04', '22:48:48.10', '22:48:49.31', '22:48:50.14', '22:48:50.82', '22:48:51.39', '22:48:51.81', '22:48:52.39', '22:48:53.02']",10.47
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support', 'premium_customer_check']","['02:15:24.40', '02:15:24.42', '02:15:24.56', '02:15:24.58', '02:15:25.07', '02:15:25.37', '02:15:26.65', '02:15:26.67', '02:15:26.84', '02:15:27.16', '02:15:27.62', '02:15:28.74', '02:15:29.08', '02:15:29.24', '02:15:29.52', '02:15:30.41', '02:15:31.62', '02:15:32.42', '02:15:32.87', '02:15:33.59', '02:15:34.26']",8.85
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['16:48:57.94', '16:48:57.97', '16:48:58.32', '16:48:58.98', '16:48:59.31', '16:48:59.33', '16:48:59.72', '16:49:00.36', '16:49:00.63', '16:49:00.95', '16:49:01.19', '16:49:02.11', '16:49:03.17', '16:49:04.02', '16:49:04.73', '16:49:05.45', '16:49:06.18', '16:49:06.92']",8.35
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_analysis', 'ad', 'customer_support']","['20:05:47.74', '20:05:47.76', '20:05:47.88', '20:05:48.51', '20:05:48.53', '20:05:48.75', '20:05:49.36', '20:05:50.63', '20:05:50.76', '20:05:51.06', '20:05:51.20', '20:05:52.35', '20:05:53.07', '20:05:54.13', '20:05:54.56', '20:05:55.31', '20:05:55.78']",7.2
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'ad', 'customer_support']","['08:47:21.25', '08:47:21.27', '08:47:21.64', '08:47:22.27', '08:47:22.29', '08:47:22.52', '08:47:23.02', '08:47:24.27', '08:47:24.48', '08:47:24.78', '08:47:24.95', '08:47:25.96', '08:47:26.59', '08:47:27.53', '08:47:28.74', '08:47:29.54', '08:47:30.01', '08:47:30.65']",8.45
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'automatic_response', 'ad', 'customer_support']","['13:20:09.37', '13:20:09.40', '13:20:09.57', '13:20:10.10', '13:20:10.42', '13:20:10.44', '13:20:10.60', '13:20:10.90', '13:20:11.40', '13:20:11.57', '13:20:11.92', '13:20:12.09', '13:20:12.89', '13:20:14.18', '13:20:14.98', '13:20:15.56', '13:20:16.13', '13:20:16.49', '13:20:17.01', '13:20:17.68']",7.73
