path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'ad', 'customer_support']","['01:12:28.06', '01:12:28.07', '01:12:28.33', '01:12:28.88', '01:12:29.13', '01:12:29.14', '01:12:29.46', '01:12:30.23', '01:12:30.43', '01:12:30.81', '01:12:31.76', '01:12:32.42', '01:12:33.56', '01:12:34.68', '01:12:35.16', '01:12:35.86']",6.83
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['06:45:28.08', '06:45:28.10', '06:45:28.49', '06:45:28.71', '06:45:29.34', '06:45:29.67', '06:45:30.89', '06:45:30.91', '06:45:31.13', '06:45:31.39', '06:45:32.13', '06:45:33.23', '06:45:33.52', '06:45:33.88', '06:45:35.01', '06:45:36.04', '06:45:36.76', '06:45:37.16', '06:45:37.81', '06:45:38.53']",9.85
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_analysis', 'ad', 'customer_support', 'customer_history_access']","['10:09:04.28', '10:09:04.31', '10:09:04.55', '10:09:04.75', '10:09:05.16', '10:09:05.27', '10:09:05.29', '10:09:05.49', '10:09:05.97', '10:09:06.29', '10:09:06.55', '10:09:07.66', '10:09:08.58', '10:09:09.00', '10:09:09.60', '10:09:10.36', '10:09:11.00']",5.85
"['ui_server', 'purchase_book_server', 'book_availability_server', 'external_inventory', 'second_hand_market', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'ad', 'customer_support']","['11:51:36.83', '11:51:36.85', '11:51:37.02', '11:51:37.79', '11:51:38.10', '11:51:39.29', '11:51:39.62', '11:51:39.65', '11:51:39.90', '11:51:40.15', '11:51:40.70', '11:51:41.53', '11:51:41.70', '11:51:41.83', '11:51:41.94', '11:51:42.21', '11:51:43.34', '11:51:44.54', '11:51:44.97', '11:51:45.55']",7.73
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'review', 'review_analysis', 'ad', 'customer_support', 'customer_history_access', 'premium_customer_check']","['21:53:04.12', '21:53:04.14', '21:53:04.35', '21:53:04.58', '21:53:04.60', '21:53:05.20', '21:53:05.53', '21:53:05.55', '21:53:05.65', '21:53:06.38', '21:53:06.72', '21:53:06.96', '21:53:07.12', '21:53:07.71', '21:53:08.87', '21:53:09.75', '21:53:10.24', '21:53:10.69', '21:53:11.46', '21:53:11.90', '21:53:12.53']",8.14
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'automatic_response', 'ad', 'customer_support']","['09:29:39.27', '09:29:39.29', '09:29:39.69', '09:29:39.82', '09:29:40.49', '09:29:40.68', '09:29:40.71', '09:29:41.02', '09:29:41.34', '09:29:41.95', '09:29:43.00', '09:29:43.39', '09:29:43.50', '09:29:43.80', '09:29:44.89', '09:29:45.86', '09:29:46.23', '09:29:46.82', '09:29:47.53']",7.48
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['15:17:24.87', '15:17:24.90', '15:17:25.08', '15:17:25.80', '15:17:25.83', '15:17:26.10', '15:17:26.37', '15:17:26.78', '15:17:27.83', '15:17:28.10', '15:17:28.36', '15:17:29.54', '15:17:30.45', '15:17:31.29', '15:17:32.04', '15:17:32.69', '15:17:33.18', '15:17:33.96']",8.45
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['14:21:07.53', '14:21:07.54', '14:21:07.77', '14:21:07.92', '14:21:07.94', '14:21:08.46', '14:21:08.77', '14:21:08.79', '14:21:09.09', '14:21:09.67', '14:21:10.01', '14:21:10.19', '14:21:10.52', '14:21:11.43', '14:21:12.53', '14:21:12.94', '14:21:13.44', '14:21:14.22', '14:21:14.71']",6.23
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['20:16:18.25', '20:16:18.26', '20:16:18.41', '20:16:18.82', '20:16:18.85', '20:16:19.00', '20:16:19.29', '20:16:19.73', '20:16:20.88', '20:16:21.24', '20:16:21.49', '20:16:21.77', '20:16:22.60', '20:16:23.33', '20:16:24.27', '20:16:24.86', '20:16:25.56', '20:16:26.12', '20:16:26.70']",7.6
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['17:43:30.76', '17:43:30.78', '17:43:31.11', '17:43:31.78', '17:43:31.91', '17:43:31.92', '17:43:32.08', '17:43:32.46', '17:43:33.18', '17:43:34.06', '17:43:34.18', '17:43:34.29', '17:43:34.61', '17:43:34.89', '17:43:36.11', '17:43:36.76', '17:43:37.99', '17:43:38.45', '17:43:39.11', '17:43:39.83', '17:43:40.60']",8.91
