path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'automatic_response', 'ad', 'customer_support', 'customer_history_access']","['23:30:07.93', '23:30:07.94', '23:30:08.34', '23:30:08.84', '23:30:08.86', '23:30:09.14', '23:30:09.94', '23:30:10.14', '23:30:10.53', '23:30:10.81', '23:30:11.92', '23:30:12.72', '23:30:13.84', '23:30:14.97', '23:30:15.45', '23:30:16.22', '23:30:16.48', '23:30:16.91', '23:30:17.66', '23:30:18.13']",9.28
"['ui_server', 'purchase_book_server', 'discount_server', 'gift_wrap_server', 'book_availability_server', 'external_inventory', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'automatic_response', 'ad', 'customer_support']","['09:30:05.82', '09:30:05.83', '09:30:06.22', '09:30:06.57', '09:30:06.58', '09:30:07.34', '09:30:07.49', '09:30:07.82', '09:30:07.83', '09:30:08.09', '09:30:08.81', '09:30:10.08', '09:30:10.21', '09:30:10.61', '09:30:11.40', '09:30:12.29', '09:30:13.52', '09:30:14.68', '09:30:15.29', '09:30:15.81', '09:30:16.20', '09:30:16.84', '09:30:17.56']",10.72
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['15:58:41.75', '15:58:41.77', '15:58:42.14', '15:58:42.94', '15:58:43.19', '15:58:43.20', '15:58:43.43', '15:58:44.10', '15:58:45.27', '15:58:45.49', '15:58:45.74', '15:58:45.88', '15:58:47.00', '15:58:48.06', '15:58:48.68', '15:58:49.40', '15:58:50.10']",7.56
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_analysis', 'ad', 'customer_support']","['21:18:03.92', '21:18:03.94', '21:18:04.28', '21:18:05.02', '21:18:05.28', '21:18:05.30', '21:18:05.56', '21:18:06.11', '21:18:07.36', '21:18:07.70', '21:18:07.92', '21:18:08.24', '21:18:09.25', '21:18:09.89', '21:18:11.12', '21:18:11.78', '21:18:12.31', '21:18:12.89']",7.77
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['10:38:52.44', '10:38:52.46', '10:38:52.59', '10:38:53.03', '10:38:53.04', '10:38:53.40', '10:38:53.79', '10:38:54.30', '10:38:55.50', '10:38:55.71', '10:38:56.03', '10:38:56.27', '10:38:57.49', '10:38:58.06', '10:38:58.90', '10:38:59.96', '10:39:00.46', '10:39:01.21', '10:39:01.64', '10:39:02.12']",8.8
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support', 'customer_history_access']","['18:45:23.73', '18:45:23.76', '18:45:23.93', '18:45:24.39', '18:45:24.50', '18:45:24.53', '18:45:24.79', '18:45:24.90', '18:45:25.64', '18:45:25.75', '18:45:25.89', '18:45:26.16', '18:45:27.42', '18:45:27.88', '18:45:28.92', '18:45:29.65', '18:45:30.29', '18:45:30.70', '18:45:31.46', '18:45:32.00']",7.63
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['18:15:17.13', '18:15:17.14', '18:15:17.37', '18:15:17.97', '18:15:18.23', '18:15:18.25', '18:15:18.47', '18:15:18.75', '18:15:19.45', '18:15:20.69', '18:15:20.86', '18:15:21.02', '18:15:21.37', '18:15:22.43', '18:15:23.01', '18:15:24.27', '18:15:24.75', '18:15:25.49', '18:15:26.14']",8.2
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['05:29:33.86', '05:29:33.89', '05:29:34.00', '05:29:34.64', '05:29:34.94', '05:29:34.96', '05:29:35.29', '05:29:35.88', '05:29:36.76', '05:29:36.96', '05:29:37.09', '05:29:38.15', '05:29:38.94', '05:29:39.75', '05:29:40.48', '05:29:40.99', '05:29:41.67', '05:29:42.31']",7.67
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'ad', 'customer_support']","['12:52:39.50', '12:52:39.52', '12:52:39.88', '12:52:40.51', '12:52:40.71', '12:52:40.72', '12:52:41.08', '12:52:41.63', '12:52:42.68', '12:52:43.05', '12:52:43.30', '12:52:44.42', '12:52:45.54', '12:52:46.33', '12:52:47.00']",6.58
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['08:56:37.48', '08:56:37.50', '08:56:37.82', '08:56:38.46', '08:56:38.76', '08:56:38.78', '08:56:38.91', '08:56:39.14', '08:56:39.56', '08:56:39.95', '08:56:40.11', '08:56:40.47', '08:56:40.70', '08:56:41.52', '08:56:42.76', '08:56:43.50', '08:56:43.91', '08:56:44.60', '08:56:45.03']",6.62
